ID_Transacao;Data_Venda_Original;Data_Venda_Sanitizada;Medicamento_Original;Medicamento_Sanitizado;Quantidade_Original;Quantidade_Sanitizada;Preco_Unitario_Original;Preco_Unitario_Sanitizado;Lote;UF_Venda;Categoria_Terapeutica;Data_Validade;Canal_Venda;Representante_Comercial;Desconto_Aplicado;Status_Pedido;Status_Validacao
TRX20744;28/03/2025;2025-03-28;Xeljanz;Xeljanz;114;114.0;1419.57;1419.57;LT-961C;RS;Imunologia;2026-04-29;Rede de Farmácias;Ana Silva;0.15;Faturado;Válido
TRX90482;30-10-25;2025-10-30;Xeljanz;Xeljanz;458;458.0;3887.23;3887.23;LT-800B;PR;Imunologia;2026-03-01;Rede de Farmácias;Fernanda Lima;0.15;Faturado;Válido
TRX44513;2025-09-07;2025-07-09;Com1rn@ty;Comirnaty;343;343.0;1838.19;1838.19;LT-692B;sp;Vacina;2027-08-02;Hospital;João Oliveira;0.21;Faturado;Válido
TRX72759;04-09-25;2025-09-04;Xeljanz;Xeljanz;226;226.0;3235.21;3235.21;LT-590B;RS;Imunologia;2027-08-11;Clínica Privada;ana silva;0.24;Devolvido;Válido
TRX88753;17/03/2025;2025-03-17;Prevnar 13;Prevnar I3;93;93.0;4847.76;4847.76;LT-246B;PR;Vacina;2026-12-28;Rede de Farmácias;Mariana Costa;0.26;Devolvido;Medicamento Desconhecido
TRX10157;13-07-25;2025-07-13;xeljanz;Xeljanz;441;441.0;4141.25;4141.25;LT-893;SP;Imunologia;2027-09-21;Hospital;João Oliveira;0.14;Cancelado;Válido
TRX95792;2025-12-23;2025-12-23;Ibrance;Ibrance;393;393.0;1452.17;1452.17;LT-310C;ba;Oncologia;2028-02-22;Clínica Privada;Mariana Costa;;Devolvido;Válido
TRX23143;2025-07-23;2025-07-23;Ibrance;Ibrance;248;248.0;2444.61;2444.61;LT-319;PE;Oncologia;2027-06-28;Hospital;Ana Silva;0.07;Faturado;Válido
TRX88579;2025-04-24;2025-04-24;Ibrance;Ibrance;477;477.0;2628.98;2628.98;LT-622B;MG;Oncologia;2025-12-16;Governo;Ana Silva;;Faturado;Válido
TRX23954;28-10-25;2025-10-28;Eliquis;Eliquis;471;471.0;4157.34;4157.34;LT-672A;PR;Cardiologia;2027-03-07;Hospital;Mariana Costa;0.17;Devolvido;Válido
TRX44517;2025-05-05;2025-05-05;Eliquis;Eliquis;236;236.0;2435.75;2435.75;LT-354C;BA;Cardiologia;2026-04-23;Governo;carlos santos;0.11;Cancelado;Válido
TRX80972;16-12-25;2025-12-16;Prevnar 13;Prevnar I3;121;121.0;1073.55;1073.55;LT-143;RS;Vacina;;Governo;Fernanda Lima;;Faturado;Medicamento Desconhecido
TRX34530;04/10/2025;2025-10-04;Xeljanz;Xeljanz;441;441.0;4883.71;4883.71;LT-661C;sp;Imunologia;2026-06-06;Governo;João Oliveira;0.03;Cancelado;Válido
TRX92660;19/08/2025;2025-08-19;Comirnaty;Comirnaty;295;295.0;3618.04;3618.04;LT-629C;PE;Vacina;2027-10-14;Hospital;Carlos Santos;0.24;CANCELADO;Válido
